I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-68,-58,9,63,-39,-24,68,58,-9,0,-9,-29
-68,-53,14,61,-41,-19,68,58,-9,0,-9,-34
-68,-48,19,58,-43,-14,68,58,-9,0,-9,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-9,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-9,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-14,-34
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-29
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-29
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-29
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-34
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-39
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-43
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-48
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-48
-68,-48,19,58,-43,-14,68,58,-9,0,-19,-48
-68,-43,24,56,-46,-9,68,63,-9,0,-19,-43
-68,-39,29,53,-48,-4,68,68,-9,0,-19,-39
-58,-24,34,41,-46,4,68,68,-9,0,-19,-39
-48,-9,39,29,-43,14,68,68,-9,0,-19,-39
-43,-24,19,34,-31,-2,82,82,0,0,-14,-39
-39,-29,9,34,-24,-9,92,92,9,4,-9,-34
-39,-34,4,36,-21,-14,107,107,19,14,-4,-29
-29,-19,9,24,-19,-4,112,117,29,24,4,-19
-24,0,24,12,-24,12,117,117,43,29,14,-14
-24,-14,9,19,-17,-2,126,122,43,34,14,-9
-19,0,19,9,-19,9,126,131,48,34,14,-9
-4,19,24,-7,-14,21,131,151,58,34,14,-9
9,43,34,-26,-12,39,126,175,87,63,43,9
29,78,48,-53,-9,63,102,175,122,97,78,43
43,78,34,-61,4,56,53,161,122,97,73,43
43,78,34,-61,4,56,9,136,102,82,53,39
39,43,4,-41,17,24,0,107,78,63,39,24
19,9,-9,-14,14,0,4,87,43,39,14,0
9,-14,-24,2,17,-19,14,68,14,14,-9,-19
0,-29,-29,14,14,-29,19,53,9,4,-14,-24
-14,-43,-29,29,7,-36,24,48,-4,-4,-24,-29
-24,-43,-19,34,-2,-31,34,48,-4,-19,-24,-34
-34,-48,-14,41,-9,-31,39,48,-14,-19,-34,-43
-53,-58,-4,56,-24,-31,53,48,-14,-19,-34,-43
-78,-63,14,70,-46,-24,63,48,-14,-19,-34,-43
-97,-73,24,85,-61,-24,73,43,-19,-19,-39,-48
-102,-73,29,87,-65,-21,78,43,-24,-19,-39,-48
-107,-73,34,90,-70,-19,78,43,-24,-24,-39,-53
-107,-78,29,92,-68,-24,78,43,-24,-29,-39,-58
-107,-78,29,92,-68,-24,78,43,-29,-29,-43,-58
-107,-82,24,95,-65,-29,78,43,-29,-29,-43,-58
-102,-82,19,92,-61,-31,82,43,-29,-29,-43,-58
-107,-82,24,95,-65,-29,82,43,-29,-29,-43,-63
-107,-87,19,97,-63,-34,82,43,-29,-29,-43,-63
-107,-92,14,100,-61,-39,87,43,-34,-29,-48,-63
-107,-92,14,100,-61,-39,87,43,-34,-34,-48,-63
-112,-92,19,102,-65,-36,87,43,-34,-39,-48,-68
